,cleanned_tweet
1135492012621422592,
1135491997228240896,how s far progress made yet
1135491612686061568,
1135491559313612800,haine jalousi partie ingrédient reconstruction pay
1135490473290870784,omg bel
1135490251852402688,rfi poser valise kinshasa semaine prochain tout ère direct région émissio
1135490069366792192,connaître dieu conner dejer voir adresse tenir as  tu offer
1135490053805936640,oublier aller école
1135489553819717633,e2d8ff779aa6e3d420cf65042e0e8753a8e5d5a6ade0f67ef3a0d40a7e25ddcacea9a6f82f47f8a2e74d7b7ce3f7f9fff1469ae01baa15a6c7b
1135489521410281473,affaire chebeyer an tard paul mwilambwe vouloir jugé
1135488516740321281,invité évoquer droit de auteur afrique respecté temps
1135486965690916864,insécurité alimentaire situation se être grandement dégrader
1135486012573065216,ce être homme vraiment envoyer dieu président
1135485869241057280,joseph kabila busines continuer
1135485133409177601,aslam alikum
1135484693141499904,inafika kipindi anaanza kukupa story ya bwana ake mpya anakwambier daa huyu bwana angu anatomba sijawah k
1135484398068031489,
1135484226751672320,
1135483705047302144,enfin président républiqu excellence féli antoin tshisekedi tshilombo récupérer infatigable gard
1135482799333478400,
1135482780731793408,ce être
1135482671726039045,semain motivation handientrepreneur bumbu le appui kffentrepreneur
1135482540880539648,le arrêter
1135481500651216896,aae 27e690a0264f207179d4f3d319b165c4aef4c7090b04f1a634a0eb924ac4a087b03b2910e0a28881ea1d928362708c98520519be1eaa2e7
1135481270660685824,oui oui pleuvoir
1135480817327755269,hao sio ndugu zangu bana ndugu zak wa kina juma lokol
1135480658334273536,wal ambao konder kasahau kuwadai nauli
1135478169593663488,lundi chaud debut semaine travail mobaliyadocter lundicostard fdchabw kinshaser
1135477743108407296,laker add kyrie irving eric gordon trad ad maybe add cousin
1135477707645620224,welp got daily dose ignorance
1135477224998617089,great
1135476825440866304,approche juin député plaider construction mémorial souvenir
1135476422213062656,Monsieur porte nordkivu majoritaire fcc gagner
1135476386024579072,boy hard mad hard
1135476134802612224,fight freedom look like sudanuprising
1135475182565543936,alekaki nzela mosusu kaka y aéroport ndenge nini bôololi ye
1135474503595757568,dire jeuness que on politique se enrichir servir nation se enrich
1135474167741145089,let get ittt
1135474079266484225,document attribuer bahati lukwebo faux ce être le oeuvre vouloir nuire ambition bahat
1135474016804888576,rugari north kivu called banana capital years ago banana tree infected damaging
1135472930610171904,watch whole central park serie netflix emotional need vote
1135472515248250880,
1135472053199548416,waiting tap fam vbm
1135471984740114432,haaaaa mboker na biso jt direct hein
1135471236841185280,uganda zaabu
1135470939557289984,précisément
1135470598681968641,trail magistrat otuke district thursday left speechless suspect appeared courir
1135470476694872064,kiekiekiekie lali
1135470175766089728,cabc 7c7a27d66f220dae49b63fe418096bbad89009d356382c9544586c5dd9d8afae5568e9250191ed06db0000c0aba125f74e31669a861802
1135467825508880384,mediocre
1135467679240916992,
1135467668956483584,cher papa president ce être plaisir aller acceuillir
1135466880339259393,eh osomb ango merci insulte savoir q
1135466077146796033,souci svp
1135463660120346624,non de accord dire mher classique genre naruto op
1135463581510766592,crispin mbindul minerai pillé groupe armer butembo profiter
1135463445577523200,trouver assez unique
1135461969652326401,mieux dire unique partir que il chacun buzz
1135461573135405056,
1135461555573809152,bienvenu chef
1135461479417876480,bienvenu
1135461297980616704,te être le inverse
1135459550432321536,
1135458680827273216,
1135458373741305856,plaisir mr.le président paix le amour honneur
1135457294928547841,bureau assemblée provincial kinshasa demande gentiny ngobila révoquer immédiatement raoul elenge
1135457255925649408,exagérer nonplus ya hero oublier superfantasgomatiqu snk
1135456969970585600,
1135456592810446848,devoir non justifier le aliénation
1135455924854886407,oui oui savoir parler français tshoko aprè
1135455874376450048,
1135455457357828096,jur dire lit bibl toujours malin
1135455134127919105,instrumer communication
